Id,Date,DayLongName,MonthLongName,CalendarDay,CalendarWeek,CalendarDayInWeek,CalendarMonth,CalendarDayInMonth,CalendarQuarter,CalendarDayInQuarter,CalendarYear,CalendarNumberOfDaysInYear,FiscalDay,FiscalWeek,FiscalDayInWeek,FiscalMonth,FiscalDayInMonth,FiscalQuarter,FiscalDayInQuarter,FiscalYear
"1","2022-01-13","Thursday","January","13","2","4","1","13","1","13","2022","365","-1","-1","-1","1","13","1","13","2022"
"2","2022-01-14","Friday","January","14","2","5","1","14","1","14","2022","365","-1","-1","-1","1","14","1","14","2022"
"3","2022-01-15","Saturday","January","15","2","6","1","15","1","15","2022","365","-1","-1","-1","1","15","1","15","2022"
"4","2022-01-16","Sunday","January","16","2","7","1","16","1","16","2022","365","-1","-1","-1","1","16","1","16","2022"
"5","2022-01-17","Monday","January","17","3","1","1","17","1","17","2022","365","-1","-1","-1","1","17","1","17","2022"
"6","2022-01-18","Tuesday","January","18","3","2","1","18","1","18","2022","365","-1","-1","-1","1","18","1","18","2022"
"7","2022-01-19","Wednesday","January","19","3","3","1","19","1","19","2022","365","-1","-1","-1","1","19","1","19","2022"
"8","2022-01-20","Thursday","January","20","3","4","1","20","1","20","2022","365","-1","-1","-1","1","20","1","20","2022"
"9","2022-01-21","Friday","January","21","3","5","1","21","1","21","2022","365","-1","-1","-1","1","21","1","21","2022"
"10","2022-01-22","Saturday","January","22","3","6","1","22","1","22","2022","365","-1","-1","-1","1","22","1","22","2022"
"11","2022-01-23","Sunday","January","23","3","7","1","23","1","23","2022","365","-1","-1","-1","1","23","1","23","2022"
"12","2022-01-24","Monday","January","24","4","1","1","24","1","24","2022","365","-1","-1","-1","1","24","1","24","2022"
"13","2022-01-25","Tuesday","January","25","4","2","1","25","1","25","2022","365","-1","-1","-1","1","25","1","25","2022"
"14","2022-01-26","Wednesday","January","26","4","3","1","26","1","26","2022","365","-1","-1","-1","1","26","1","26","2022"
"15","2022-01-27","Thursday","January","27","4","4","1","27","1","27","2022","365","-1","-1","-1","1","27","1","27","2022"
"16","2022-01-28","Friday","January","28","4","5","1","28","1","28","2022","365","-1","-1","-1","1","28","1","28","2022"
"17","2022-01-29","Saturday","January","29","4","6","1","29","1","29","2022","365","-1","-1","-1","1","29","1","29","2022"
"18","2022-01-30","Sunday","January","30","4","7","1","30","1","30","2022","365","-1","-1","-1","1","30","1","30","2022"
"19","2022-01-31","Monday","January","31","5","1","1","31","1","31","2022","365","-1","-1","-1","1","31","1","31","2022"
"89","2022-02-01","Tuesday","February","32","5","2","2","1","1","32","2022","365","-1","-1","-1","2","1","1","32","2022"
"90","2022-02-02","Wednesday","February","33","5","3","2","2","1","33","2022","365","-1","-1","-1","2","2","1","33","2022"
"91","2022-02-03","Thursday","February","34","5","4","2","3","1","34","2022","365","-1","-1","-1","2","3","1","34","2022"
"92","2022-02-04","Friday","February","35","5","5","2","4","1","35","2022","365","-1","-1","-1","2","4","1","35","2022"
"93","2022-02-05","Saturday","February","36","5","6","2","5","1","36","2022","365","-1","-1","-1","2","5","1","36","2022"
"94","2022-02-06","Sunday","February","37","5","7","2","6","1","37","2022","365","-1","-1","-1","2","6","1","37","2022"
"95","2022-02-07","Monday","February","38","6","1","2","7","1","38","2022","365","-1","-1","-1","2","7","1","38","2022"
"96","2022-02-08","Tuesday","February","39","6","2","2","8","1","39","2022","365","-1","-1","-1","2","8","1","39","2022"
"97","2022-02-09","Wednesday","February","40","6","3","2","9","1","40","2022","365","-1","-1","-1","2","9","1","40","2022"
"98","2022-02-10","Thursday","February","41","6","4","2","10","1","41","2022","365","-1","-1","-1","2","10","1","41","2022"
"99","2022-02-11","Friday","February","42","6","5","2","11","1","42","2022","365","-1","-1","-1","2","11","1","42","2022"
"100","2022-02-12","Saturday","February","43","6","6","2","12","1","43","2022","365","-1","-1","-1","2","12","1","43","2022"
"101","2022-02-13","Sunday","February","44","6","7","2","13","1","44","2022","365","-1","-1","-1","2","13","1","44","2022"
"102","2022-02-14","Monday","February","45","7","1","2","14","1","45","2022","365","-1","-1","-1","2","14","1","45","2022"
"103","2022-02-15","Tuesday","February","46","7","2","2","15","1","46","2022","365","-1","-1","-1","2","15","1","46","2022"
"104","2022-02-16","Wednesday","February","47","7","3","2","16","1","47","2022","365","-1","-1","-1","2","16","1","47","2022"
"105","2022-02-17","Thursday","February","48","7","4","2","17","1","48","2022","365","-1","-1","-1","2","17","1","48","2022"
"106","2022-02-18","Friday","February","49","7","5","2","18","1","49","2022","365","-1","-1","-1","2","18","1","49","2022"
"107","2022-02-19","Saturday","February","50","7","6","2","19","1","50","2022","365","-1","-1","-1","2","19","1","50","2022"
"108","2022-02-20","Sunday","February","51","7","7","2","20","1","51","2022","365","-1","-1","-1","2","20","1","51","2022"
"109","2022-02-21","Monday","February","52","8","1","2","21","1","52","2022","365","-1","-1","-1","2","21","1","52","2022"
